Country,Life Expectancy (years) - Men,Life Expectancy (years) - Women,Happiness Score,Fertility Rate (births per woman)
Afghanistan,60.6,68.2,3.794,4.7
Albania,74.8,81.3,4.959,1.7
Algeria,73.3,78.9,5.605,2.9
Andorra,81.7,84.8,6.955,1.4
Angola,58.1,65.6,4.105,5.3
Antigua and Barbuda,74.4,78.9,6.102,2.2
Argentina,74.7,80.4,6.365,2.3
Armenia,72.6,79.4,4.853,1.8
Australia,80.5,84.3,7.313,1.7
Austria,81.2,84.2,7.456,1.5
Azerbaijan,70.7,75.8,5.129,2.1
Bahamas,71.6,75.2,6.591,2.1
Bahrain,75.7,78.8,6.498,2.1
Bangladesh,68.5,75.7,4.527,2.2
Barbados,74.7,78.4,6.189,1.9
Belarus,72.2,77,5.892,1.5
Belgium,80.5,83.5,7.409,1.6
Belize,72.2,75.6,5.906,2.5
Benin,61.1,67.6,4.923,5.4
Bhutan,68.6,73.9,5.075,2.2
Bolivia,69.2,75.1,5.139,3.4
Bosnia and Herzegovina,74.1,80.6,5.246,1.5
Botswana,62.4,69.9,4.517,3.1
Brazil,72.9,78.2,6.226,1.8
Brunei,76.2,78.7,6.298,1.6
Bulgaria,73.1,76.6,5.687,1.5
Burkina Faso,59.5,66.9,4.944,5.5
Burundi,61.8,66.2,3.557,6.1
Cabo Verde,74.5,80.2,5.507,2.1
Cambodia,66.2,72.2,4.639,2.5
Cameroon,61.1,67.2,4.442,4.9
Canada,80.8,84.1,7.632,1.6
Central African Republic,57.6,65.2,3.351,5.4
Chad,59.9,66.2,4.053,5.5
Chile,78.7,84.1,6.744,1.7
China,76.1,81.5,5.906,1.6
Colombia,72.5,78.3,5.805,1.9
Comoros,69.6,74.2,4.365,3.9
"Congo, Dem. Rep.",61.3,65.8,3.462,5.5
"Congo, Rep.",65.5,71.7,4.772,4.9
Costa Rica,79.1,83.1,6.707,1.9
Cote d'Ivoire,59.3,66.3,4.664,4.9
Croatia,76.5,81.5,5.872,1.4
Cuba,78.1,81.5,6.376,1.7
Cyprus,78.6,82.6,6.749,1.3
Czech Republic,76.9,81.8,6.646,1.5
Denmark,78.9,82.7,7.596,1.7
Djibouti,65.7,71.3,4.526,3.7
Dominica,74.5,79.2,6.175,2.1
Dominican Republic,73.9,78.8,5.972,2.2
Ecuador,76.5,81.5,5.958,2.1
Egypt,73.3,77.3,5.041,3.4
El Salvador,74.1,78.4,5.788,2.2
Equatorial Guinea,64.4,68.8,4.935,3.9
Eritrea,66.4,71.1,4.906,4.6
Estonia,74.6,81.6,6.899,1.6
Ethiopia,64.1,67.6,4.575,4.9
Fiji,71.1,76.5,5.532,2.3
Finland,80.6,84.6,7.769,1.8
France,82,86.2,6.657,1.9
Gabon,64.6,70.1,4.991,4.2
Gambia,64.2,68.3,4.421,4.4
Georgia,74,79.1,5.225,1.7
Germany,79.5,84.1,6.995,1.5
Ghana,64.7,69.2,4.687,4
Greece,81.5,85.7,6.456,1.3
Grenada,74.6,79.6,5.854,2.1
Guatemala,73.1,78,5.703,2.5
Guinea,63.2,67.5,4.064,5.5
Guinea-Bissau,61,66.4,3.652,5.5
Guyana,67.6,72.9,4.654,2.5
Haiti,63.5,70,3.766,3.2
Honduras,72.3,77.6,5.821,2.5
Hungary,74.8,80.2,5.958,1.5
Iceland,81.8,84.8,7.594,1.9
India,68.5,70.7,4.527,2.4
Indonesia,70.3,74.3,5.135,2.2
Iran,74.9,78.8,4.707,1.8
Iraq,72.3,77,4.739,3.9
Ireland,81.1,84.2,6.977,1.9
Israel,82.5,84.6,7.488,2.5
Italy,82.7,87,6.442,1.3
Jamaica,74.1,78.2,5.897,2.3
Japan,84,89.5,6.444,1.4
Jordan,74.6,78.6,5.081,3.2
Kazakhstan,71.5,77.3,5.766,2.3
Kenya,66,72.3,4.471,4.3
Kiribati,68.5,73.2,4.934,3.5
"Korea, Dem. Rep.",70.5,76.5,4.687,2.3
"Korea, Rep.",81.2,87,5.538,1.2
Kosovo,74.4,80.4,5.362,1.6
Kuwait,78.1,82,6.107,2.3
Kyrgyz Republic,71,76.3,5.136,2.6
Laos,67.5,73.3,4.811,2.6
Latvia,74.8,81.3,6.646,1.4
Lebanon,76.5,80.8,5.466,1.7
Lesotho,60.6,66.7,3.971,3.4
Liberia,64,69.3,3.979,5.4
Libya,74.4,79.4,6.342,2.8
Lithuania,74.3,80.8,6.643,1.8
Luxembourg,82.5,86.5,7.143,1.6
"Macedonia, FYR",75.5,80.8,5.526,1.5
Madagascar,67.5,73.5,4.525,4.1
Malawi,64.1,68.2,3.973,5.4
Malaysia,74.4,78.4,6.141,2.1
Maldives,74.4,78.2,5.248,2.3
Mali,60.5,66.5,4.354,6.2
Malta,82,85.5,6.441,1.3
Marshall Islands,66.9,72,5.253,3.3
Mauritania,66.8,71.9,4.532,4.8
Mauritius,73.5,78.8,5.974,1.7
Mexico,76.3,81.3,6.578,2.2
"Micronesia, Fed. Sts.",71.6,76.7,5.497,2.7
Moldova,74,79.5,5.936,1.5
Mongolia,71.1,76.8,5.225,1.9
Montenegro,76.4,80.5,5.679,1.5
Morocco,74.4,79.4,5.253,2.3
Mozambique,66.7,71.5,4.325,5.2
Myanmar,67,72.3,4.768,2.4
Namibia,66.1,72.1,4.931,2.9
Nepal,70.6,75.6,4.643,2.3
Netherlands,82,85,7.488,1.7
New Zealand,81.5,85,7.286,2.1
Nicaragua,73.6,78.3,5.562,2.3
Niger,62.7,68.3,4.348,7.6
Nigeria,52.9,55.6,3.357,5.7
Norway,82.2,86.1,7.594,1.8
Oman,76.4,81,6.306,2.5
Pakistan,66.5,72,5.194,3.3
Palau,74.4,80.1,5.995,2.5
Panama,78.2,82.8,6.701,2.2
Papua New Guinea,63.5,67.7,4.739,3.9
Paraguay,75,81.2,5.841,2.4
Peru,74.9,81.3,6.139,2.2
Philippines,72,77.1,5.199,2.8
Poland,77.1,82.9,6.442,1.3
Portugal,82,85.5,6.346,1.3
Qatar,78.1,82.5,6.42,2.3
Singapore,82.5,85.9,6.71,1.2
United Arab Emirates,76.3,80.6,6.39,2.6
United States,76.1,81.1,6.94,1.7
United Kingdom,79,83,6.72,1.7